timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1719582104192,195,Demo_qa3-0,301,Moved Permanently,Usuarios 1-2,text,true,,396,125,14,14,http://demoqa.com/alertsWindows,195,0,0
1719582104387,199,Demo_qa3-1,200,OK,Usuarios 1-2,text,true,,3436,125,14,14,https://demoqa.com/alertsWindows,199,0,0
1719582104253,379,Demo_qa2,200,OK,Usuarios 1-6,text,true,,3824,234,13,13,https://demoqa.com/forms,190,0,0
1719582104253,190,Demo_qa2-0,301,Moved Permanently,Usuarios 1-6,text,true,,388,117,13,13,http://demoqa.com/forms,190,0,0
1719582104443,189,Demo_qa2-1,200,OK,Usuarios 1-6,text,true,,3436,117,13,13,https://demoqa.com/forms,189,0,0
1719582104256,396,Demo_qa3,200,OK,Usuarios 1-3,text,true,,3832,250,13,13,https://demoqa.com/alertsWindows,198,0,0
1719582104256,198,Demo_qa3-0,301,Moved Permanently,Usuarios 1-3,text,true,,396,125,13,13,http://demoqa.com/alertsWindows,198,0,0
1719582104454,198,Demo_qa3-1,200,OK,Usuarios 1-3,text,true,,3436,125,13,13,https://demoqa.com/alertsWindows,198,0,0
1719582103713,977,Demo_qa1,200,OK,Usuarios 1-9,text,true,,3827,240,12,12,https://demoqa.com/elements,392,0,195
1719582103713,392,Demo_qa1-0,301,Moved Permanently,Usuarios 1-9,text,true,,391,120,12,12,http://demoqa.com/elements,392,0,195
1719582104106,584,Demo_qa1-1,200,OK,Usuarios 1-9,text,true,,3436,120,12,12,https://demoqa.com/elements,584,0,385
1719582104386,401,Demo_qa3,200,OK,Usuarios 1-4,text,true,,3832,250,12,12,https://demoqa.com/alertsWindows,189,0,0
1719582104386,189,Demo_qa3-0,301,Moved Permanently,Usuarios 1-4,text,true,,396,125,12,12,http://demoqa.com/alertsWindows,189,0,0
1719582104575,212,Demo_qa3-1,200,OK,Usuarios 1-4,text,true,,3436,125,12,12,https://demoqa.com/alertsWindows,212,0,0
1719582104403,385,Demo_qa2,200,OK,Usuarios 1-7,text,true,,3824,234,12,12,https://demoqa.com/forms,190,0,0
1719582104403,190,Demo_qa2-0,301,Moved Permanently,Usuarios 1-7,text,true,,388,117,12,12,http://demoqa.com/forms,190,0,0
1719582104593,195,Demo_qa2-1,200,OK,Usuarios 1-7,text,true,,3436,117,12,12,https://demoqa.com/forms,195,0,0
1719582103846,994,Demo_qa1,200,OK,Usuarios 1-10,text,true,,3827,240,11,11,https://demoqa.com/elements,391,0,193
